name,coordinates
"bus-907-b-v","[[-8.6282836, 41.1558005], [-8.6294745, 41.156576], [-8.6299144, 41.1555905], [-8.6307513, 41.1548231], [-8.6318885, 41.1539183], [-8.6323284, 41.1527873], [-8.6340235, 41.152545], [-8.6344849, 41.1512282], [-8.6366736, 41.1507435], [-8.6383258, 41.150081], [-8.6398386, 41.1495478], [-8.6416517, 41.1493136], [-8.6432182, 41.1496044], [-8.6443018, 41.1504446], [-8.6443447, 41.1516564], [-8.643068, 41.1518502], [-8.6420594, 41.1512444], [-8.6413084, 41.1505415], [-8.6409115, 41.1494751], [-8.6406272, 41.1483209], [-8.6403697, 41.1472303], [-8.6400693, 41.146083], [-8.6397474, 41.144758], [-8.6396723, 41.1437481], [-8.6405521, 41.1432068], [-8.6416893, 41.1435219], [-8.6419897, 41.144451], [-8.641067, 41.1450004], [-8.6399512, 41.1452024], [-8.6386423, 41.1451701], [-8.6379557, 41.144548], [-8.6370545, 41.1437481], [-8.6360996, 41.1429886], [-8.6354451, 41.1421484], [-8.6350696, 41.141203], [-8.6345332, 41.1403466], [-8.6344366, 41.1395467], [-8.6338465, 41.1388437], [-8.6335783, 41.1378418], [-8.6332994, 41.136961], [-8.6325591, 41.1368721], [-8.6315291, 41.1368075], [-8.6304455, 41.136759], [-8.6294048, 41.1365166], [-8.6285143, 41.1361772], [-8.6292331, 41.1357328], [-8.6301129, 41.1350621], [-8.631175, 41.1344561], [-8.6320012, 41.1340844], [-8.6323874, 41.1331793], [-8.6326664, 41.1323308], [-8.6326449, 41.131846], [-8.6316793, 41.1317409], [-8.6309605, 41.1316197], [-8.631057, 41.1310823], [-8.6311268, 41.1305692], [-8.6312662, 41.1301045], [-8.6314701, 41.1295227], [-8.6315881, 41.129155], [-8.6317437, 41.1286822], [-8.6319261, 41.1282054], [-8.6320119, 41.1276478], [-8.6319958, 41.1270336], [-8.6319636, 41.1264436], [-8.632146, 41.1261931], [-8.632028, 41.12589], [-8.6318402, 41.1255223], [-8.631572, 41.1252516], [-8.6313521, 41.1248071], [-8.631395, 41.1243868], [-8.6315988, 41.1239747], [-8.6320602, 41.123712], [-8.6325483, 41.1234615], [-8.6331921, 41.1233928], [-8.6338626, 41.1234857], [-8.6341952, 41.1232432], [-8.6343293, 41.1226896], [-8.6343722, 41.1221764], [-8.6344473, 41.1216915], [-8.6339377, 41.1214005], [-8.6334227, 41.1211217], [-8.6328648, 41.1208509], [-8.6323177, 41.1206125], [-8.6318832, 41.1202043], [-8.6314272, 41.1198002], [-8.6309015, 41.1193678], [-8.6302631, 41.1188546], [-8.6297159, 41.1184747], [-8.6292009, 41.1181595], [-8.628466, 41.1178564], [-8.6276238, 41.1175896], [-8.6271947, 41.1177109], [-8.6273127, 41.1182322], [-8.627479, 41.1188182], [-8.6274951, 41.1193274], [-8.6275219, 41.1198608], [-8.6268782, 41.1199336], [-8.6260574, 41.119873], [-8.6254244, 41.119683], [-8.624786, 41.1197396], [-8.624035, 41.1195699], [-8.6234932, 41.1192587], [-8.6228656, 41.1193274], [-8.6224847, 41.118992], [-8.6222165, 41.1184222], [-8.621959, 41.1179372], [-8.6218839, 41.1175492], [-8.621739, 41.1171451], [-8.6210631, 41.1172421], [-8.620355, 41.1173593], [-8.6195718, 41.1174927], [-8.618853, 41.1176099], [-8.6181556, 41.117719], [-8.6173885, 41.1178927], [-8.6164926, 41.1180665], [-8.6158435, 41.1181595], [-8.6150389, 41.1182767], [-8.6150013, 41.1186566], [-8.6153125, 41.1193597], [-8.6153017, 41.119877], [-8.6152427, 41.1204428], [-8.6151998, 41.1209156], [-8.6148994, 41.1212712], [-8.6142718, 41.1215016], [-8.6136066, 41.1217844], [-8.6129628, 41.1220188], [-8.6122708, 41.1222936], [-8.6117183, 41.1225159], [-8.6112784, 41.1224593], [-8.610919, 41.1219905], [-8.6105006, 41.1214813], [-8.6101573, 41.1210328], [-8.6097388, 41.1205115], [-8.609358, 41.1200265], [-8.6090844, 41.1195416], [-8.6088537, 41.1190566], [-8.6086928, 41.1186646], [-8.6084406, 41.1181676], [-8.6082583, 41.1177271], [-8.6080169, 41.1172825], [-8.6078291, 41.1168662], [-8.6075019, 41.1163894], [-8.6071746, 41.1160499], [-8.6068903, 41.1157225], [-8.6067187, 41.1153265], [-8.6063861, 41.1156013], [-8.6058067, 41.1155124], [-8.6053186, 41.1152941], [-8.6050664, 41.1149708], [-8.6048358, 41.1145707], [-8.6046373, 41.1141019], [-8.6043583, 41.113528], [-8.6040686, 41.1130106], [-8.6037843, 41.1125216], [-8.6034142, 41.1120245], [-8.6029421, 41.1117011], [-8.6024486, 41.1113172], [-8.6018746, 41.1111313], [-8.6012362, 41.1110302], [-8.6007856, 41.1113536], [-8.6003511, 41.1116971], [-8.6000131, 41.1119477], [-8.5995572, 41.1119154], [-8.5989081, 41.1114182], [-8.5985111, 41.1109938], [-8.5982268, 41.1105573], [-8.5978406, 41.1100076], [-8.5972505, 41.1094297], [-8.5966443, 41.1090538], [-8.5959737, 41.1088557], [-8.5953354, 41.1086415], [-8.5946434, 41.1083101], [-8.5940747, 41.1079342], [-8.5936295, 41.1075987], [-8.5932164, 41.1072753], [-8.5927068, 41.1068711], [-8.5923367, 41.1065235], [-8.5918861, 41.1061597], [-8.5913389, 41.1057353], [-8.59084, 41.105323], [-8.590325, 41.1048663], [-8.5897939, 41.1044055], [-8.589295, 41.1040093], [-8.5888766, 41.1035768], [-8.5885762, 41.1031847], [-8.5889464, 41.1028775], [-8.5893487, 41.102639], [-8.5898529, 41.1022752], [-8.5898583, 41.1019801], [-8.5894935, 41.1016365], [-8.5891502, 41.1012687], [-8.5894023, 41.1008442], [-8.5897456, 41.1004359], [-8.5897188, 41.1000479], [-8.5895901, 41.0996436], [-8.5895096, 41.0993081], [-8.5893648, 41.0989241], [-8.5888873, 41.0986694], [-8.5882758, 41.0983258], [-8.587793, 41.0980873], [-8.5875945, 41.09759], [-8.5878466, 41.0972383], [-8.5882973, 41.097396], [-8.588764, 41.0976385], [-8.5892468, 41.0979134], [-8.5896759, 41.0982085], [-8.5902928, 41.0985036], [-8.5908024, 41.0985481], [-8.5912691, 41.0985239], [-8.5915427, 41.0982004], [-8.5910277, 41.0979256], [-8.59084, 41.0976102], [-8.5911833, 41.0972343], [-8.5912531, 41.0968664], [-8.5908078, 41.0965592], [-8.5904377, 41.0963206]]"
"bus-907-v-b","[[-8.5904188, 41.0963556], [-8.5890885, 41.0957937], [-8.5883267, 41.0967356], [-8.5875945, 41.09759], [-8.5885788, 41.0985103], [-8.5895337, 41.0993471], [-8.5897376, 41.1004952], [-8.5892226, 41.1014128], [-8.5898931, 41.1020757], [-8.5889007, 41.1029004], [-8.5889114, 41.1038058], [-8.5900845, 41.1047456], [-8.5916938, 41.1060553], [-8.5932924, 41.1074053], [-8.5950198, 41.108529], [-8.5971548, 41.1093454], [-8.5983779, 41.1108813], [-8.5999443, 41.1122555], [-8.601854, 41.1136458], [-8.6040427, 41.1147451], [-8.6057379, 41.1155454], [-8.6072399, 41.1160788], [-8.6082583, 41.1177271], [-8.6089887, 41.1194412], [-8.6100723, 41.1209688], [-8.6111345, 41.1223104], [-8.6117567, 41.1233126], [-8.6121108, 41.1244037], [-8.6127331, 41.1250906], [-8.6137845, 41.1256402], [-8.6153509, 41.1252361], [-8.6164882, 41.1245249], [-8.6150612, 41.1237409], [-8.6136772, 41.1230782], [-8.6148359, 41.1223508], [-8.6151578, 41.1213971], [-8.6152758, 41.1202252], [-8.6153509, 41.1194089], [-8.6156942, 41.1182854], [-8.6174216, 41.1180187], [-8.6189558, 41.1177439], [-8.6207797, 41.1174287], [-8.6218848, 41.1181076], [-8.6231293, 41.1195059], [-8.6253502, 41.1199747], [-8.6272492, 41.1200555], [-8.6275067, 41.1188916], [-8.6271947, 41.1177109], [-8.628365, 41.117849], [-8.6298992, 41.1186572], [-8.6311438, 41.1196109], [-8.6320394, 41.1203747], [-8.6332625, 41.1210294], [-8.632844, 41.1222337], [-8.6324578, 41.1232116], [-8.6315988, 41.1239747], [-8.6314064, 41.1251027], [-8.6319643, 41.1258422], [-8.631975, 41.1268605], [-8.6319965, 41.1278182], [-8.6317175, 41.1287071], [-8.6314701, 41.1295227], [-8.6312079, 41.1303355], [-8.6310201, 41.1311436], [-8.6308807, 41.1319315], [-8.630709, 41.1327355], [-8.6308163, 41.1335557], [-8.6308914, 41.1342466], [-8.6302155, 41.1350224], [-8.6310738, 41.1353335], [-8.6322432, 41.1355799], [-8.6331391, 41.1359193], [-8.6332994, 41.136961], [-8.6336165, 41.1379515], [-8.6338955, 41.1388726], [-8.6342016, 41.1399193], [-8.6351297, 41.1395436], [-8.6361597, 41.1389739], [-8.637313, 41.1388608], [-8.6388687, 41.1389497], [-8.6399201, 41.1391759], [-8.6409394, 41.139483], [-8.6418245, 41.1402182], [-8.6418513, 41.1411272], [-8.6415563, 41.1419352], [-8.6416367, 41.1428361], [-8.6418996, 41.1438056], [-8.6416796, 41.1447792], [-8.6404619, 41.1451024], [-8.638917, 41.1452841], [-8.6380104, 41.1446459], [-8.6379621, 41.1437046], [-8.6392817, 41.1439228], [-8.6395929, 41.1449327], [-8.6399147, 41.1461082], [-8.6402152, 41.147409], [-8.6405424, 41.1486975], [-8.6407891, 41.1502487], [-8.6390833, 41.1510969], [-8.6361543, 41.1509757], [-8.6343197, 41.1510485], [-8.6325816, 41.1518563], [-8.6321954, 41.1532377], [-8.6310152, 41.1545545], [-8.6297492, 41.1555965], [-8.6281828, 41.1553703], [-8.6285475, 41.1560247]]"
"bus-906-t-m","[[-8.6096004, 41.1512703], [-8.6104909, 41.1513592], [-8.6111668, 41.1498323], [-8.6112097, 41.1480873], [-8.6115638, 41.1462372], [-8.6108557, 41.1457525], [-8.6111186, 41.1450092], [-8.6119715, 41.1443386], [-8.6128459, 41.1436761], [-8.613849, 41.1429691], [-8.6142889, 41.1422985], [-8.6145142, 41.1414865], [-8.6137632, 41.1413491], [-8.6124757, 41.1414986], [-8.6108772, 41.1412441], [-8.6096541, 41.1408239], [-8.6093537, 41.1399594], [-8.6091444, 41.1392484], [-8.6100403, 41.1387272], [-8.6110488, 41.1382181], [-8.6123685, 41.1378909], [-8.6138544, 41.1376162], [-8.6154422, 41.1372324], [-8.6167888, 41.1369779], [-8.6187263, 41.1368678], [-8.6208443, 41.1376363], [-8.6225877, 41.1384444], [-8.6239396, 41.1384606], [-8.623564, 41.1372687], [-8.6245403, 41.1363193], [-8.6252538, 41.1360728], [-8.6261317, 41.136206], [-8.6281702, 41.136214], [-8.6293933, 41.1355434], [-8.6309061, 41.1344929], [-8.6321506, 41.1337576], [-8.632687, 41.1324161], [-8.6313996, 41.131705], [-8.6312079, 41.1303355], [-8.6316249, 41.1290787], [-8.6319965, 41.1278182], [-8.6319682, 41.1262986], [-8.6319146, 41.1255955], [-8.6313996, 41.1245287], [-8.6326978, 41.1234538], [-8.6342535, 41.1231467], [-8.6344473, 41.1216915], [-8.633363, 41.1208514], [-8.6347362, 41.1199543], [-8.6347899, 41.118847], [-8.6342856, 41.1172547], [-8.6338672, 41.1159129], [-8.6342105, 41.114555], [-8.6350796, 41.1133425], [-8.6337385, 41.1128899], [-8.6328694, 41.1125099], [-8.6309382, 41.1133829], [-8.6299834, 41.1121058], [-8.6293504, 41.1106346], [-8.6303589, 41.1096969], [-8.6326119, 41.1098424], [-8.6351547, 41.1095029], [-8.6365923, 41.1082903], [-8.6390814, 41.1076113], [-8.6404654, 41.1066089], [-8.6421499, 41.1058166], [-8.6438236, 41.1052184], [-8.6446604, 41.1062693], [-8.6470208, 41.1058085], [-8.6490807, 41.1053397], [-8.6497781, 41.1046525], [-8.6491236, 41.1033428], [-8.647922, 41.1024697], [-8.6473426, 41.1012893], [-8.648555, 41.1006507], [-8.6505506, 41.100966], [-8.652471, 41.1011842], [-8.6550137, 41.1009902], [-8.6577389, 41.1007881], [-8.6585328, 41.1022191], [-8.6590371, 41.1034883], [-8.6607751, 41.104604], [-8.6608824, 41.1064148], [-8.6578569, 41.1067786], [-8.6566338, 41.1076113], [-8.6572668, 41.10922], [-8.6578783, 41.1107963], [-8.6554214, 41.1113944], [-8.6533401, 41.1118714], [-8.6510012, 41.1124453], [-8.649703, 41.1131566], [-8.6481473, 41.1141589], [-8.646656, 41.1151936], [-8.6451861, 41.1147409], [-8.6443815, 41.1135042], [-8.6433086, 41.1123968], [-8.6420319, 41.1124372]]"
"bus-906-m-t","[[-8.6421398, 41.112587], [-8.6441675, 41.1131044], [-8.6456159, 41.1150524], [-8.6475256, 41.1146482], [-8.6491028, 41.1134277], [-8.6506477, 41.1125224], [-8.6541561, 41.1116979], [-8.6571923, 41.1109946], [-8.6573962, 41.1094668], [-8.6566237, 41.1075024], [-8.6581794, 41.1067668], [-8.6608824, 41.1064148], [-8.6608509, 41.1045356], [-8.659896, 41.1035897], [-8.6587265, 41.102765], [-8.6577389, 41.1007881], [-8.6558134, 41.1009277], [-8.6537591, 41.1010673], [-8.650637, 41.1009137], [-8.6478046, 41.1005256], [-8.6468926, 41.101989], [-8.6448649, 41.1017626], [-8.6439637, 41.1029268], [-8.6430195, 41.1046487], [-8.641893, 41.1059584], [-8.6400262, 41.1071144], [-8.6376873, 41.107842], [-8.6359063, 41.1089252], [-8.6338678, 41.1096042], [-8.6311105, 41.1096689], [-8.6294154, 41.110453], [-8.6298445, 41.1119242], [-8.6308316, 41.11346], [-8.6330846, 41.1124415], [-8.6352519, 41.1119161], [-8.6361424, 41.1128376], [-8.6349622, 41.1145917], [-8.6343184, 41.1164912], [-8.634533, 41.118431], [-8.6346832, 41.1201202], [-8.6330739, 41.1215751], [-8.6324194, 41.1233369], [-8.6313787, 41.1246301], [-8.6319636, 41.1264436], [-8.6319259, 41.1281375], [-8.6313466, 41.1297537], [-8.6309281, 41.1315154], [-8.6307136, 41.1333902], [-8.6302308, 41.1346265], [-8.627806, 41.1343922], [-8.6282996, 41.1362345], [-8.6256603, 41.1361052], [-8.6239544, 41.1367194], [-8.6237398, 41.1383031], [-8.6223665, 41.1383435], [-8.6207679, 41.1376324], [-8.6185471, 41.1368729], [-8.6167888, 41.1369779], [-8.614867, 41.1373658], [-8.6130109, 41.1377779], [-8.6113373, 41.1381819], [-8.6101785, 41.1386263], [-8.6092022, 41.1394828], [-8.6102108, 41.1409695], [-8.6126784, 41.1415027], [-8.6145142, 41.1414865], [-8.6136118, 41.1432237], [-8.611745, 41.1445003], [-8.6104361, 41.1461242], [-8.6086551, 41.1474088], [-8.6076466, 41.1491619], [-8.6084083, 41.1503818], [-8.6096004, 41.1512703]]"
"bus-905-b-m","[[-8.6071875, 41.1516572], [-8.6067882, 41.1508908], [-8.6073698, 41.1496617], [-8.6080435, 41.148451], [-8.6088321, 41.1472189], [-8.6101572, 41.1463101], [-8.610817, 41.1456031], [-8.6106399, 41.1444114], [-8.6094919, 41.143256], [-8.6073998, 41.1425693], [-8.6053399, 41.1431106], [-8.6039773, 41.1437731], [-8.6018208, 41.1424157], [-8.6014131, 41.1402342], [-8.6010698, 41.1384485], [-8.6023894, 41.1375193], [-8.6045352, 41.1378991], [-8.6066273, 41.1369214], [-8.6082581, 41.1360164], [-8.6077217, 41.1341982], [-8.6070672, 41.1322508], [-8.6080543, 41.1312002], [-8.6087731, 41.1293739], [-8.6110691, 41.1289456], [-8.6112729, 41.1272728], [-8.6116913, 41.1254625], [-8.6127535, 41.1254706], [-8.6149422, 41.1253574], [-8.6164882, 41.1245249], [-8.6140731, 41.1233127], [-8.6148993, 41.1222863], [-8.6139122, 41.121672], [-8.6114339, 41.1226419], [-8.6102215, 41.1211305], [-8.6089887, 41.1194412], [-8.6080543, 41.1174126], [-8.6066595, 41.1152302], [-8.6047606, 41.1145593], [-8.6039773, 41.1129022], [-8.6018746, 41.1111313], [-8.599557, 41.1119969], [-8.5975722, 41.1097982], [-8.5951797, 41.1086261], [-8.5931305, 41.1072842], [-8.5911993, 41.1056835], [-8.5897455, 41.1044385], [-8.5893727, 41.1045881], [-8.5889703, 41.1051762], [-8.5895336, 41.104388], [-8.5891822, 41.1039777]]"
"bus-905-m-b","[[-8.5891822, 41.1039777], [-8.5895094, 41.1044486], [-8.5889247, 41.1052429], [-8.589327, 41.1046063], [-8.5905662, 41.10515], [-8.5922185, 41.1064919], [-8.5940746, 41.1080198], [-8.5961774, 41.1089656], [-8.5977009, 41.1098467], [-8.5987953, 41.1113664], [-8.6005977, 41.1127164], [-8.6023465, 41.1138561], [-8.604149, 41.1148422], [-8.6063861, 41.1156013], [-8.6077109, 41.1166932], [-8.6085478, 41.1184795], [-8.6093417, 41.1199586], [-8.6104682, 41.1214215], [-8.6112514, 41.1225207], [-8.6121527, 41.1241371], [-8.611584, 41.1257615], [-8.6108652, 41.1269899], [-8.6095456, 41.1282506], [-8.6073998, 41.1286951], [-8.605887, 41.1291557], [-8.6067346, 41.1316689], [-8.6072496, 41.1336003], [-8.6080221, 41.1360002], [-8.6062733, 41.1370506], [-8.6043635, 41.1379718], [-8.6020997, 41.1374708], [-8.6010483, 41.138796], [-8.6014882, 41.1407998], [-8.6018852, 41.1424885], [-8.6025825, 41.1443467], [-8.6038378, 41.1454536], [-8.604782, 41.1442498], [-8.6063591, 41.1424441], [-8.6087087, 41.1431753], [-8.6105541, 41.1442013], [-8.6105863, 41.1459061], [-8.6088267, 41.1470371], [-8.6079041, 41.1487498], [-8.6069491, 41.1505353], [-8.6063806, 41.1516017], [-8.6071875, 41.1516572]]"
"bus-904-b-c","[[-8.6094919, 41.1512704], [-8.6106083, 41.1512368], [-8.6112091, 41.1497745], [-8.6112305, 41.1479972], [-8.6115953, 41.1462925], [-8.6108121, 41.1452503], [-8.610383, 41.1434001], [-8.6079797, 41.1429234], [-8.6058661, 41.1425517], [-8.6049005, 41.1440545], [-8.6024114, 41.1431416], [-8.6016819, 41.1413075], [-8.6013171, 41.1395703], [-8.6011669, 41.137728], [-8.6030015, 41.137518], [-8.6047503, 41.1377765], [-8.6073145, 41.1366453], [-8.6081192, 41.1354009], [-8.6074003, 41.1332272], [-8.6073252, 41.1313282], [-8.6082801, 41.130011], [-8.6098251, 41.1288634], [-8.6123893, 41.1290574], [-8.6149642, 41.1292433], [-8.6171529, 41.1299544], [-8.6196527, 41.1294372], [-8.6216697, 41.1285564], [-8.6236545, 41.1275462], [-8.6257681, 41.1274734], [-8.6269697, 41.1289847], [-8.6293301, 41.1270209], [-8.6323234, 41.1260673], [-8.6313996, 41.1245287], [-8.6329672, 41.1234245], [-8.634319, 41.1228992], [-8.6335572, 41.1211292], [-8.634952, 41.1197794], [-8.6348233, 41.1187287]]"
"bus-904-c-b","[[-8.6347188, 41.118764], [-8.6346973, 41.1201865], [-8.6331953, 41.1211968], [-8.6326374, 41.1225788], [-8.6315988, 41.1239747], [-8.629762, 41.1241144], [-8.627509, 41.1252136], [-8.6259318, 41.1263369], [-8.6237002, 41.1274845], [-8.6212433, 41.1271693], [-8.619119, 41.125949], [-8.6181212, 41.1259328], [-8.6190976, 41.1277593], [-8.6199344, 41.1293594], [-8.6170376, 41.1299574], [-8.6149642, 41.1292433], [-8.6122526, 41.1290442], [-8.609506, 41.1286159], [-8.6076499, 41.1286563], [-8.6060942, 41.129917], [-8.606738, 41.1317918], [-8.6072496, 41.1336003], [-8.6079718, 41.1358564], [-8.6061479, 41.1371573], [-8.6039592, 41.1379896], [-8.601395, 41.13723], [-8.6012877, 41.1396379], [-8.6017705, 41.1419407], [-8.6024893, 41.1441221], [-8.6039377, 41.1454471], [-8.6054076, 41.1442191], [-8.6074675, 41.1454795], [-8.6067809, 41.1470549], [-8.6098279, 41.1476608], [-8.6105038, 41.1491554], [-8.6100424, 41.1509085], [-8.6094919, 41.1512704]]"
"bus-903-b-v","[[-8.6298157, 41.1612725], [-8.6284209, 41.1604728], [-8.6289145, 41.1589139], [-8.6303414, 41.1579607], [-8.6294294, 41.1568218], [-8.6295045, 41.1554889], [-8.6277557, 41.1555616], [-8.626758, 41.1543337], [-8.6264146, 41.152508], [-8.6290325, 41.1525484], [-8.6313284, 41.1526696], [-8.6337961, 41.1526292], [-8.634472, 41.1516356], [-8.6364139, 41.1508439], [-8.6384417, 41.1500683], [-8.6404801, 41.1494543], [-8.6424435, 41.1493816], [-8.6441279, 41.1502864], [-8.644482, 41.1516113], [-8.6425723, 41.1516275], [-8.6413084, 41.1505415], [-8.6407913, 41.1492039], [-8.640405, 41.1476366], [-8.640051, 41.1461743], [-8.6396862, 41.1442433], [-8.6407269, 41.1431203], [-8.6416925, 41.1427001], [-8.6418513, 41.1411272], [-8.6411561, 41.1393228], [-8.6388172, 41.1388703], [-8.6362744, 41.1388137], [-8.6342896, 41.1398399], [-8.6336137, 41.1380946], [-8.6324121, 41.1368987], [-8.6300088, 41.1367937], [-8.6290432, 41.1359614], [-8.6309061, 41.1344929], [-8.6323262, 41.1333918], [-8.6326449, 41.131846], [-8.6309315, 41.1312988], [-8.6315752, 41.129319], [-8.6320258, 41.1274279], [-8.6319722, 41.1257308], [-8.6311139, 41.1243003], [-8.6292471, 41.1242518], [-8.627509, 41.1252136], [-8.6260499, 41.1262884], [-8.6242152, 41.1267652], [-8.6238397, 41.1252944], [-8.622445, 41.1246155], [-8.6222304, 41.1234355], [-8.6241616, 41.1223283], [-8.6262966, 41.1216494], [-8.6266399, 41.1200734], [-8.623947, 41.1195561], [-8.6220587, 41.1184973], [-8.620546, 41.1173415], [-8.617499, 41.1178911], [-8.6148919, 41.1184892], [-8.6152758, 41.1202252], [-8.6143447, 41.1214797], [-8.6118771, 41.1224657], [-8.6094416, 41.1234679], [-8.6071886, 41.1243246], [-8.6059977, 41.1235406], [-8.6061908, 41.1216494], [-8.6064268, 41.1193217], [-8.6066092, 41.1165089], [-8.608004, 41.1171636], [-8.6094845, 41.1173576], [-8.6096562, 41.1161533], [-8.6107505, 41.1151672], [-8.6103965, 41.1137526], [-8.6123706, 41.1129928], [-8.6098386, 41.1119581], [-8.6092592, 41.110883], [-8.6087979, 41.1089753], [-8.6082722, 41.1071241]]"
"bus-903-v-b","[[-8.608637, 41.1070433], [-8.6092807, 41.1082477], [-8.6089159, 41.109816], [-8.6092485, 41.1111094], [-8.6102785, 41.1120713], [-8.6122204, 41.1127099], [-8.6111153, 41.1135263], [-8.610257, 41.1144882], [-8.608594, 41.1152642], [-8.6064805, 41.1154016], [-8.6063303, 41.1175112], [-8.6059655, 41.1191277], [-8.6051394, 41.1200895], [-8.6060299, 41.1216171], [-8.6058689, 41.1228779], [-8.6057455, 41.1241387], [-8.605649, 41.1253065], [-8.6054612, 41.1262238], [-8.6059601, 41.1261551], [-8.6073066, 41.1259894], [-8.6084117, 41.1261349], [-8.6096079, 41.1264298], [-8.6108203, 41.1266561], [-8.6113835, 41.1263773], [-8.6117751, 41.125355], [-8.6124457, 41.1250115], [-8.6130411, 41.1255328], [-8.6144091, 41.1255691], [-8.6154229, 41.1251772], [-8.6164636, 41.1246317], [-8.6156536, 41.1240215], [-8.6146719, 41.1235689], [-8.6136312, 41.1230638], [-8.6145861, 41.1224778], [-8.6151172, 41.1215847], [-8.6151976, 41.1206957], [-8.6152727, 41.1198228], [-8.6152459, 41.1188893], [-8.6161471, 41.1182305], [-8.6179925, 41.1179072], [-8.6194784, 41.1176203], [-8.6209805, 41.1173819], [-8.62171, 41.1177537], [-8.6222358, 41.1188691], [-8.6239309, 41.1197137], [-8.6258621, 41.1199885], [-8.6266882, 41.1207563], [-8.6253149, 41.1221141], [-8.6229653, 41.1229385], [-8.6220748, 41.1235689], [-8.6232657, 41.1249671], [-8.6249931, 41.1254035], [-8.624918, 41.127044], [-8.6264415, 41.1281189], [-8.6274822, 41.1283209], [-8.6295743, 41.1268582], [-8.6318703, 41.1261147], [-8.6320419, 41.12803], [-8.6314196, 41.1296139], [-8.6309476, 41.1314241], [-8.6306794, 41.1329837], [-8.6306472, 41.134713], [-8.6314733, 41.1353432], [-8.6331363, 41.1361917], [-8.6336298, 41.1380421], [-8.6342016, 41.1399193], [-8.6363227, 41.1388824], [-8.6394985, 41.1390198], [-8.6415369, 41.1398197], [-8.6418803, 41.1415165], [-8.641612, 41.1432132], [-8.6413331, 41.1449422], [-8.6387045, 41.1452411], [-8.6376531, 41.1439565], [-8.6392817, 41.1439228], [-8.6398096, 41.1457016], [-8.640346, 41.1478749], [-8.6408288, 41.1497977], [-8.6393912, 41.1511549], [-8.6359258, 41.1509691], [-8.6327286, 41.1515346], [-8.631999, 41.1539419], [-8.6300785, 41.1553798], [-8.6286945, 41.1545074], [-8.6267955, 41.1548628], [-8.6280508, 41.15643], [-8.627965, 41.158409], [-8.6287267, 41.1595237], [-8.6291344, 41.1608888], [-8.6298103, 41.1615512]]"
