name,coordinates
"bus-200-b-cq","[[-8.6070635, 41.1518608], [-8.6069348, 41.1509963], [-8.6071065, 41.1502329], [-8.6075356, 41.1494089], [-8.6078681, 41.1487182], [-8.6086782, 41.1474256], [-8.6100676, 41.1477164], [-8.611339, 41.1479022], [-8.6127782, 41.1482733], [-8.6143822, 41.1483339], [-8.6148006, 41.1474452], [-8.6154012, 41.1472639], [-8.6162622, 41.1472154], [-8.6171151, 41.1472861], [-8.6178983, 41.1474013], [-8.6180754, 41.1480799], [-8.6190651, 41.1479789], [-8.619902, 41.1478294], [-8.6204304, 41.1473629], [-8.6213316, 41.1474841], [-8.6221336, 41.1476537], [-8.6229275, 41.1478719], [-8.6237831, 41.1481102], [-8.6246736, 41.1484636], [-8.6254702, 41.1489039], [-8.6256338, 41.1496472], [-8.6257921, 41.150348], [-8.6259342, 41.1509903], [-8.6258109, 41.1516264], [-8.6259852, 41.1522465], [-8.6265646, 41.1525938], [-8.6275248, 41.1524383], [-8.6284233, 41.1524949], [-8.6293111, 41.1525494], [-8.6301882, 41.152612], [-8.6311699, 41.1526625], [-8.6321597, 41.1527534], [-8.633144, 41.1526766], [-8.6341955, 41.1525312], [-8.635204, 41.1524565], [-8.6361401, 41.1525393], [-8.6370225, 41.1527453], [-8.638141, 41.15302], [-8.6390449, 41.1532502], [-8.6399461, 41.1534623], [-8.6409653, 41.1537107], [-8.6419444, 41.1539692], [-8.6429663, 41.1542903], [-8.6442162, 41.1545589], [-8.6456243, 41.1543953], [-8.646665, 41.1543286], [-8.6475502, 41.1543105], [-8.6484782, 41.154262], [-8.6493714, 41.1542681], [-8.650227, 41.1540802], [-8.6507474, 41.1534098], [-8.6512221, 41.1528847], [-8.6518471, 41.1524323], [-8.6526464, 41.1521839], [-8.6535395, 41.1521576], [-8.6543388, 41.1522202], [-8.6552427, 41.1521273], [-8.6561359, 41.1517234], [-8.656903, 41.1513477], [-8.6576541, 41.1510307], [-8.6584453, 41.1508691], [-8.659368, 41.1507136], [-8.6602585, 41.1505944], [-8.6612348, 41.1505015], [-8.662077, 41.1504611], [-8.6630265, 41.1505116], [-8.6640565, 41.1506146], [-8.6650596, 41.1507843], [-8.6659716, 41.1510145], [-8.6669291, 41.1513255], [-8.6679001, 41.1517173], [-8.6687959, 41.1521758], [-8.6696435, 41.1526585], [-8.6703007, 41.1530927], [-8.6710088, 41.1536238], [-8.6715398, 41.1540378], [-8.6720817, 41.1545771], [-8.6721192, 41.155296], [-8.6728085, 41.1556434], [-8.6732189, 41.1550072], [-8.6738304, 41.1545508], [-8.6745091, 41.154157], [-8.6752843, 41.1537248], [-8.6761345, 41.1538864], [-8.6767191, 41.1545226], [-8.6773495, 41.1549789], [-8.6780147, 41.155502], [-8.6785055, 41.1560937], [-8.6789508, 41.1566188], [-8.6794363, 41.1571822], [-8.6798762, 41.1577133], [-8.6803402, 41.1582586], [-8.6809437, 41.1589694], [-8.6813621, 41.1594662], [-8.6817644, 41.159973], [-8.682097, 41.160599], [-8.6823921, 41.1611382], [-8.6827408, 41.1617884], [-8.6831189, 41.1625032], [-8.6834837, 41.1631757], [-8.6841757, 41.1633897], [-8.6850045, 41.1631413], [-8.6858012, 41.1630747], [-8.686123, 41.1636704], [-8.6864476, 41.1642539], [-8.6868606, 41.1649667], [-8.6872844, 41.1657199], [-8.6876599, 41.1664084], [-8.688073, 41.1671596], [-8.6878745, 41.1678602], [-8.6885665, 41.1684134], [-8.6893148, 41.1678198], [-8.6890547, 41.1674564]]"
"bus-200-cq-b","[[-8.6890547, 41.1674564], [-8.6881585, 41.167133], [-8.6877991, 41.1664909], [-8.6874397, 41.1658528], [-8.6870266, 41.165138], [-8.6866511, 41.1644515], [-8.6857338, 41.1647705], [-8.6851222, 41.1644555], [-8.6847521, 41.1637084], [-8.6844463, 41.1630744], [-8.6840923, 41.1623595], [-8.6838026, 41.1617537], [-8.6835666, 41.1611802], [-8.6832876, 41.1605946], [-8.6829175, 41.1598152], [-8.6823918, 41.1591932], [-8.6818875, 41.1586278], [-8.6813618, 41.1579937], [-8.6808253, 41.1573434], [-8.6802675, 41.1567234], [-8.6794467, 41.1568224], [-8.6786446, 41.1572748], [-8.6779822, 41.1569153], [-8.6775222, 41.1563518], [-8.6770193, 41.1557561], [-8.6764855, 41.155122], [-8.6760188, 41.1545767], [-8.6767377, 41.1542455], [-8.6772634, 41.1539022], [-8.6768074, 41.1534296], [-8.6762629, 41.1529187], [-8.6757895, 41.1524451], [-8.6753785, 41.1523295], [-8.6748172, 41.1526622], [-8.6741869, 41.1530075], [-8.6740769, 41.1534902], [-8.6739803, 41.1539426], [-8.673932, 41.1543949], [-8.6734922, 41.1547383], [-8.6726124, 41.1547867], [-8.6719097, 41.1543344], [-8.6714108, 41.1538739], [-8.6708153, 41.1533973], [-8.6702467, 41.1529813], [-8.6694796, 41.1524966], [-8.6687179, 41.1520846], [-8.6678113, 41.1516362], [-8.6668618, 41.1512525], [-8.6659284, 41.1509495], [-8.6649252, 41.1507072], [-8.6639382, 41.1505537], [-8.6628706, 41.1504608], [-8.6618729, 41.1504285], [-8.6608643, 41.150485], [-8.6598612, 41.1506021], [-8.6590136, 41.1507152], [-8.6578549, 41.1509293], [-8.6568518, 41.1512323], [-8.6559935, 41.1516645], [-8.655103, 41.1520482], [-8.6540515, 41.1521451], [-8.6528445, 41.1521169], [-8.6517234, 41.1524037], [-8.6510475, 41.1529611], [-8.6504574, 41.1535831], [-8.6495776, 41.1539749], [-8.648494, 41.1541405], [-8.6473246, 41.1541809], [-8.6461551, 41.1542495], [-8.6451305, 41.154399], [-8.6440898, 41.154504], [-8.6431028, 41.1542697], [-8.6421479, 41.1539789], [-8.641134, 41.1536962], [-8.6401631, 41.1534538], [-8.639176, 41.1532236], [-8.6379744, 41.1529328], [-8.6368157, 41.15265], [-8.6356248, 41.1524198], [-8.6344607, 41.1524238], [-8.6332698, 41.1526137], [-8.6320038, 41.15265], [-8.6309148, 41.1526056], [-8.6297614, 41.1525208], [-8.6284257, 41.1524562], [-8.6271812, 41.1523431], [-8.6261566, 41.1523027], [-8.6258508, 41.1513696], [-8.6259313, 41.1505779], [-8.6257435, 41.1497862], [-8.6255718, 41.1490268], [-8.6248906, 41.1483926], [-8.6238445, 41.1480816], [-8.6227287, 41.1477705], [-8.6217524, 41.147512], [-8.6204166, 41.1473262], [-8.6203147, 41.1465021], [-8.6195744, 41.1460376], [-8.6179705, 41.1463244], [-8.6174984, 41.1456013], [-8.6167956, 41.1449226], [-8.6155726, 41.1454478], [-8.6145694, 41.1458477], [-8.6131049, 41.1459204], [-8.6114634, 41.1460416], [-8.611104, 41.146902], [-8.6108626, 41.147924], [-8.6106748, 41.1485865], [-8.6103476, 41.1493863], [-8.6102296, 41.150073], [-8.6099989, 41.1508526], [-8.6096449, 41.1516645], [-8.6099775, 41.1525935], [-8.6099614, 41.1534983], [-8.6087544, 41.1534902], [-8.607644, 41.1534781], [-8.6063887, 41.1533448], [-8.606335, 41.152541], [-8.6071021, 41.1518584]]"
"bus-201-v-sdb","[[-8.6422607, 41.1778454], [-8.6424906, 41.178212], [-8.6428054, 41.1778513], [-8.643373, 41.1774643], [-8.6442789, 41.1773149], [-8.6448261, 41.1778277], [-8.6451694, 41.1784132], [-8.6456308, 41.1788492], [-8.6462638, 41.1791157], [-8.6473527, 41.1788492], [-8.64849, 41.1786231], [-8.6496058, 41.1784616], [-8.6511293, 41.1781548], [-8.6524597, 41.1778802], [-8.6522987, 41.1772019], [-8.6515906, 41.1766285], [-8.6519554, 41.1760794], [-8.6526206, 41.175611], [-8.6533931, 41.1750134], [-8.6540475, 41.1743674], [-8.6545518, 41.1737617], [-8.655099, 41.1731076], [-8.6556247, 41.1724696], [-8.6561397, 41.1718073], [-8.6566439, 41.1712259], [-8.6571804, 41.1705959], [-8.6575881, 41.170071], [-8.6580816, 41.1694895], [-8.6587897, 41.1687465], [-8.6593698, 41.1679757], [-8.660035, 41.1672084], [-8.6607216, 41.1664088], [-8.6613868, 41.1655608], [-8.6620842, 41.1646966], [-8.6629103, 41.1637031], [-8.6614083, 41.1632185], [-8.6598311, 41.1629681], [-8.6583077, 41.1627015], [-8.6567842, 41.1624592], [-8.655368, 41.1622169], [-8.6536835, 41.1619423], [-8.6518382, 41.1616273], [-8.6504005, 41.1614092], [-8.6488556, 41.1611103], [-8.6470638, 41.1608195], [-8.6455618, 41.1605853], [-8.6438988, 41.1603026], [-8.6422895, 41.1600683], [-8.6407446, 41.1597695], [-8.6390172, 41.1595191], [-8.6374186, 41.1592444], [-8.6358093, 41.1589859], [-8.6341785, 41.1587194], [-8.6325584, 41.1584447], [-8.6309277, 41.1581943], [-8.6299513, 41.1571765], [-8.628342, 41.1566999], [-8.6275052, 41.1556741], [-8.6268829, 41.1546077], [-8.6264859, 41.1535818], [-8.6262714, 41.1525801], [-8.6258958, 41.1517238], [-8.6258637, 41.1503989], [-8.6256491, 41.1493971], [-8.6250483, 41.1484438], [-8.6235248, 41.1479672], [-8.6219047, 41.1475552], [-8.6204304, 41.1473629], [-8.6203147, 41.1465021], [-8.6195744, 41.1460376], [-8.6179705, 41.1463244], [-8.6174984, 41.1456013], [-8.6167956, 41.1449226], [-8.6155726, 41.1454478], [-8.6145694, 41.1458477], [-8.6131049, 41.1459204], [-8.6114634, 41.1460416], [-8.609234, 41.1467957]]"
"bus-201-sdb-v","[[-8.6094111, 41.1467959], [-8.6087245, 41.1472483], [-8.6096579, 41.14762], [-8.6110634, 41.1478946], [-8.612544, 41.1481532], [-8.6140245, 41.1483309], [-8.6146253, 41.1477169], [-8.6154012, 41.1472639], [-8.6162622, 41.1472154], [-8.6169428, 41.1472806], [-8.6178655, 41.1472402], [-8.6179942, 41.1477896], [-8.6185092, 41.1480805], [-8.6192066, 41.1479754], [-8.6200649, 41.1478139], [-8.6204304, 41.1473629], [-8.6213316, 41.1474841], [-8.6220068, 41.14762], [-8.6227685, 41.1478219], [-8.623541, 41.148032], [-8.624292, 41.1483067], [-8.6249143, 41.1485975], [-8.6254702, 41.1489039], [-8.6256331, 41.1494539], [-8.6257404, 41.1499628], [-8.6258584, 41.1505364], [-8.6259121, 41.1511504], [-8.6259121, 41.1517967], [-8.626073, 41.1524591], [-8.6262983, 41.1531458], [-8.6264914, 41.1538647], [-8.626706, 41.1546241], [-8.6271137, 41.1553188], [-8.6276072, 41.1559489], [-8.6280257, 41.1564901], [-8.6285299, 41.1571121], [-8.6278862, 41.1577745], [-8.6283046, 41.1587438], [-8.6297101, 41.1588326], [-8.6303538, 41.1582187], [-8.6317915, 41.1584691], [-8.6329395, 41.1586307], [-8.6342162, 41.1588488], [-8.6354715, 41.1590427], [-8.6368018, 41.1592688], [-8.6385399, 41.1595758], [-8.639763, 41.1597616], [-8.6412436, 41.1600039], [-8.6426062, 41.1602462], [-8.6439151, 41.160432], [-8.6452562, 41.1606824], [-8.6464149, 41.1608843], [-8.6478311, 41.1611428], [-8.6492473, 41.1613932], [-8.6509103, 41.1616597], [-8.6528339, 41.1619513], [-8.6547436, 41.1622906], [-8.6567392, 41.1625975], [-8.6587133, 41.1629367], [-8.6608805, 41.1632921], [-8.6629103, 41.1637031], [-8.6619749, 41.1648267], [-8.6611166, 41.1658767], [-8.6601939, 41.1669913], [-8.6591425, 41.1682674], [-8.6582412, 41.1693819], [-8.6571804, 41.1705959], [-8.6561397, 41.1718073], [-8.655099, 41.1731076], [-8.6540475, 41.1743674], [-8.652791, 41.1754712], [-8.6515906, 41.1766285], [-8.6522987, 41.1772019], [-8.6524597, 41.1778802], [-8.6513104, 41.1781199], [-8.6501302, 41.1783945], [-8.6486711, 41.1786367], [-8.6474909, 41.1788144], [-8.6465039, 41.1782168], [-8.6462035, 41.1771347], [-8.645431, 41.1764564], [-8.6443367, 41.1766825], [-8.6434784, 41.1772801], [-8.6422607, 41.1778454]]"
"bus-202-cq-l","[[-8.6890547, 41.1674564], [-8.6881585, 41.167133], [-8.6875936, 41.1659972], [-8.6868606, 41.1649667], [-8.6863061, 41.163776], [-8.6857697, 41.1628148], [-8.685083, 41.1615871], [-8.6843749, 41.1604078], [-8.6831518, 41.1595597], [-8.6813923, 41.1602947], [-8.680019, 41.1608521], [-8.6784741, 41.1615467], [-8.676972, 41.1623868], [-8.6755236, 41.1628956], [-8.6737856, 41.1626129], [-8.6721762, 41.1622091], [-8.6707708, 41.1614417], [-8.6690005, 41.1610217], [-8.6674877, 41.1612883], [-8.6655566, 41.161579], [-8.6641189, 41.162096], [-8.6632499, 41.1629198], [-8.6627671, 41.1638729], [-8.6619087, 41.164931], [-8.6610719, 41.1659406], [-8.659881, 41.1662395], [-8.6583468, 41.1655206], [-8.6574885, 41.1657952], [-8.6568447, 41.166926], [-8.655053, 41.167144], [-8.6533686, 41.1668856], [-8.6516305, 41.1666029], [-8.6499461, 41.1663202], [-8.6479398, 41.1660214], [-8.6462661, 41.1656983], [-8.6444958, 41.1653995], [-8.6428221, 41.1650764], [-8.6410948, 41.1648099], [-8.639464, 41.1645837], [-8.637565, 41.1644706], [-8.6358591, 41.1640749], [-8.6343249, 41.1635499], [-8.633134, 41.1627664], [-8.6323401, 41.161781], [-8.6315998, 41.1608198], [-8.6308702, 41.1600282], [-8.6300656, 41.1589296], [-8.6303016, 41.1581461], [-8.6302265, 41.1573545], [-8.6291751, 41.1569021], [-8.6281558, 41.1573303], [-8.6273619, 41.1575564], [-8.6259242, 41.1573222], [-8.6250015, 41.1569183], [-8.6253556, 41.1557712], [-8.6238428, 41.1555935], [-8.6223301, 41.1558924], [-8.6210212, 41.1556904], [-8.6197122, 41.1553754], [-8.6182209, 41.1550927], [-8.6168262, 41.1548261], [-8.61541, 41.1545676], [-8.6136504, 41.1542202], [-8.6126097, 41.1536144], [-8.6112472, 41.1535578], [-8.6100777, 41.1532993], [-8.6101099, 41.1519583], [-8.6108824, 41.1509242], [-8.6112257, 41.1499306], [-8.6112686, 41.1488642], [-8.6113652, 41.1476685], [-8.6115583, 41.1467394], [-8.6122293, 41.1459036]]"
"bus-202-l-cq","[[-8.6122293, 41.1459036], [-8.6111315, 41.1460702], [-8.6110456, 41.147177], [-8.6108096, 41.1481465], [-8.6104877, 41.1491079], [-8.6102517, 41.1501904], [-8.6097582, 41.1511033], [-8.6098225, 41.1519435], [-8.6099727, 41.1530098], [-8.6097689, 41.1540923], [-8.6091895, 41.1551829], [-8.6101015, 41.1547709], [-8.6100693, 41.1536076], [-8.6117645, 41.1536642], [-8.6119468, 41.1548032], [-8.6132128, 41.155199], [-8.6145754, 41.1555141], [-8.6160989, 41.1557645], [-8.6175902, 41.1560068], [-8.6193497, 41.1563138], [-8.6209698, 41.1565884], [-8.6224826, 41.1568308], [-8.6244567, 41.1571701], [-8.6260338, 41.157477], [-8.6278862, 41.1577745], [-8.6283046, 41.1587438], [-8.628716, 41.1595934], [-8.6283512, 41.1608454], [-8.6279328, 41.1620731], [-8.6275788, 41.163107], [-8.627214, 41.1642297], [-8.6277611, 41.1648516], [-8.6293168, 41.1650293], [-8.6309262, 41.1650455], [-8.6321814, 41.1644558], [-8.6334367, 41.1638905], [-8.6348744, 41.1639147], [-8.6364193, 41.1643508], [-8.6379857, 41.1646981], [-8.6392088, 41.1653443], [-8.6403353, 41.1649243], [-8.6419554, 41.1651101], [-8.644069, 41.1654331], [-8.6457319, 41.1656835], [-8.6474807, 41.1660066], [-8.6492188, 41.1662812], [-8.650914, 41.1665316], [-8.6524053, 41.1667739], [-8.6542185, 41.1670727], [-8.6559243, 41.1672423], [-8.6570294, 41.1668385], [-8.6575766, 41.1658208], [-8.6581345, 41.1654574], [-8.6595507, 41.166152], [-8.6607216, 41.1664088], [-8.6615248, 41.165417], [-8.6620842, 41.1646966], [-8.6629195, 41.1637693], [-8.6632629, 41.1630101], [-8.6640032, 41.1621539], [-8.6653013, 41.1616046], [-8.6669858, 41.1614431], [-8.66852, 41.1609665], [-8.6699362, 41.1611281], [-8.6711486, 41.1617016], [-8.6725755, 41.1623558], [-8.6739488, 41.1626627], [-8.6756332, 41.162897], [-8.6769421, 41.1624527], [-8.6782296, 41.1616531], [-8.6794098, 41.16154], [-8.6807831, 41.1613462], [-8.6821845, 41.1607555], [-8.6828001, 41.1618631], [-8.6834009, 41.1630343], [-8.684506, 41.1632847], [-8.68589, 41.1632524], [-8.6866839, 41.1646093], [-8.6872844, 41.1657199], [-8.6878963, 41.1668385], [-8.6879928, 41.1675977], [-8.6884542, 41.1684296], [-8.6893255, 41.167844], [-8.6890547, 41.1674564]]"
"bus-203-mdp-cq","[[-8.604266, 41.1608342], [-8.604384, 41.1618762], [-8.6065297, 41.1621347], [-8.6082785, 41.162377], [-8.6098989, 41.1626117], [-8.6118193, 41.1628378], [-8.6136003, 41.1630559], [-8.6152096, 41.1632659], [-8.6167868, 41.163484], [-8.6183746, 41.1636778], [-8.6200376, 41.1638878], [-8.6219473, 41.164114], [-8.6237927, 41.1643482], [-8.6256113, 41.1645841], [-8.6273172, 41.164778], [-8.629066, 41.1650122], [-8.6299887, 41.164471], [-8.6314156, 41.1642449], [-8.6318233, 41.1632272], [-8.630611, 41.1624518], [-8.6299994, 41.1616279], [-8.6291304, 41.1608282], [-8.6285188, 41.1603032], [-8.6287656, 41.1593178], [-8.6299672, 41.1586554], [-8.6312118, 41.1583484], [-8.632864, 41.158615], [-8.6343553, 41.1588735], [-8.6359647, 41.1591401], [-8.6375203, 41.1594147], [-8.6390438, 41.159657], [-8.6406853, 41.1599236], [-8.6423376, 41.1601901], [-8.6439151, 41.160432], [-8.645567, 41.1607394], [-8.6471656, 41.1610059], [-8.6488285, 41.1613129], [-8.6505022, 41.1615633], [-8.652133, 41.1618379], [-8.654032, 41.1621691], [-8.6555555, 41.1624195], [-8.6564782, 41.1619106], [-8.6577335, 41.1612563], [-8.6589351, 41.1607232], [-8.6602977, 41.1601982], [-8.6617031, 41.159657], [-8.6630013, 41.1591562], [-8.6642137, 41.1586715], [-8.6656192, 41.1581061], [-8.6669173, 41.1575811], [-8.6680331, 41.1571691], [-8.6693099, 41.1566683], [-8.6705759, 41.1561674], [-8.6718204, 41.1556747], [-8.6727216, 41.1556262], [-8.6731508, 41.1548588], [-8.6741379, 41.154358], [-8.6751034, 41.1538248], [-8.6759832, 41.1537682], [-8.6766484, 41.1544145], [-8.6774316, 41.1549234], [-8.6781934, 41.155707], [-8.6787405, 41.1563613], [-8.6793413, 41.1570722], [-8.6798762, 41.1577133], [-8.6804786, 41.1584292], [-8.6811009, 41.1591804], [-8.681691, 41.1598993], [-8.6821845, 41.1607555], [-8.6826029, 41.1615471], [-8.6830321, 41.1623387], [-8.6835256, 41.1632514], [-8.6840728, 41.1634129], [-8.6851564, 41.163102], [-8.6859932, 41.1634008], [-8.6864476, 41.1642539], [-8.6870366, 41.1652101], [-8.687573, 41.166155], [-8.6880022, 41.1670273], [-8.6879271, 41.1677865], [-8.688485, 41.168368], [-8.6893111, 41.1679319], [-8.6890547, 41.1674564]]"
"bus-203-cq-mdp","[[-8.6890547, 41.1674564], [-8.6881585, 41.167133], [-8.6875187, 41.1659212], [-8.6868428, 41.1648873], [-8.6857338, 41.1647705], [-8.6849438, 41.1641362], [-8.6846756, 41.1635304], [-8.6843752, 41.1629246], [-8.6840533, 41.1622865], [-8.68371, 41.1615192], [-8.6834203, 41.1608649], [-8.6830663, 41.1601541], [-8.6826049, 41.1594352], [-8.6818875, 41.1586278], [-8.6813618, 41.1579937], [-8.6808253, 41.1573434], [-8.6800729, 41.1564869], [-8.6789786, 41.1570927], [-8.6783027, 41.1572623], [-8.6777448, 41.1565676], [-8.677101, 41.1558487], [-8.6764855, 41.155122], [-8.6764573, 41.1543704], [-8.6770903, 41.1537403], [-8.6765405, 41.1531688], [-8.6756661, 41.1534434], [-8.6747327, 41.1539968], [-8.6740836, 41.1536494], [-8.6739494, 41.1544492], [-8.6731019, 41.1549137], [-8.6721685, 41.155047], [-8.6714657, 41.1555842], [-8.6706289, 41.1558911], [-8.6697491, 41.1562425], [-8.6685958, 41.1566908], [-8.6676463, 41.1570463], [-8.6667075, 41.1574178], [-8.6656936, 41.1578015], [-8.6646422, 41.1582256], [-8.6635854, 41.1586497], [-8.6626681, 41.1590051], [-8.6616918, 41.1593847], [-8.6607166, 41.1597747], [-8.6595042, 41.1602593], [-8.6582704, 41.1607197], [-8.6570795, 41.1613336], [-8.6557813, 41.1620283], [-8.6546012, 41.1620848], [-8.6532601, 41.1618667], [-8.6519726, 41.1616567], [-8.6508568, 41.1614709], [-8.6495693, 41.1612448], [-8.648357, 41.1610186], [-8.6470638, 41.1608195], [-8.6457499, 41.1605986], [-8.6444302, 41.1603886], [-8.6431857, 41.1602109], [-8.6419304, 41.1599847], [-8.6408253, 41.1597908], [-8.6396774, 41.1596212], [-8.6385723, 41.1594435], [-8.6372634, 41.1592254], [-8.6358093, 41.1589859], [-8.634431, 41.1587731], [-8.6329182, 41.1584984], [-8.6313089, 41.1582722], [-8.6302145, 41.1574241], [-8.6282619, 41.1572625], [-8.6282726, 41.15866], [-8.628691, 41.1596616], [-8.6283692, 41.1607682], [-8.6280473, 41.1618263], [-8.6276611, 41.1628602], [-8.6266204, 41.1634094], [-8.6248179, 41.1633125], [-8.6230047, 41.163046], [-8.6214383, 41.1627633], [-8.6197324, 41.1626421], [-8.6180695, 41.1625048], [-8.6162456, 41.1623271], [-8.6144324, 41.1621171], [-8.6125763, 41.1618425], [-8.6106773, 41.1616486], [-8.6087139, 41.1612851], [-8.6067398, 41.1609055], [-8.6052592, 41.1606147], [-8.604266, 41.1608342]]"
"bus-204-f-hsj","[[-8.6772809, 41.1527561], [-8.6763153, 41.1530631], [-8.6753712, 41.1536205], [-8.6742983, 41.1542587], [-8.6730216, 41.1548161], [-8.6720989, 41.1545252], [-8.6711869, 41.1537255], [-8.6702467, 41.1529813], [-8.6691699, 41.1523037], [-8.6678113, 41.1516362], [-8.6663911, 41.1510919], [-8.6650071, 41.1507203], [-8.6634085, 41.1505103], [-8.661413, 41.1504376], [-8.6596642, 41.1506315], [-8.6579476, 41.1509061], [-8.6562202, 41.1515686], [-8.6545036, 41.1520937], [-8.6524651, 41.1521583], [-8.6510475, 41.1529611], [-8.6501799, 41.1537578], [-8.648494, 41.1541405], [-8.6467896, 41.1542183], [-8.6452446, 41.1543798], [-8.6436138, 41.1544283], [-8.6422727, 41.1540406], [-8.6407385, 41.1536205], [-8.6390648, 41.1531843], [-8.6373696, 41.1527642], [-8.6354385, 41.1524249], [-8.6336682, 41.1525622], [-8.6319301, 41.1526349], [-8.630353, 41.1525703], [-8.6285291, 41.1524653], [-8.6271665, 41.1522876], [-8.6259756, 41.1523199], [-8.6263619, 41.153467], [-8.626706, 41.1546241], [-8.6274133, 41.155737], [-8.6283252, 41.1568679], [-8.6278862, 41.1577745], [-8.6284218, 41.1587904], [-8.6287437, 41.1594608], [-8.6284433, 41.1604786], [-8.628057, 41.1617144], [-8.6276279, 41.1630148], [-8.627214, 41.1642297], [-8.6268232, 41.1655267], [-8.6264477, 41.1667463], [-8.6247418, 41.1671502], [-8.6231432, 41.1675621], [-8.6215446, 41.1675055], [-8.6199782, 41.1675782], [-8.618283, 41.1675217], [-8.6168132, 41.1676186], [-8.6154935, 41.1676025], [-8.614485, 41.1671017], [-8.612983, 41.1665767], [-8.612071, 41.1660033], [-8.6115453, 41.1650664], [-8.6104295, 41.1645414], [-8.6088095, 41.1644768], [-8.6069856, 41.1644202], [-8.6063097, 41.1650744], [-8.6056445, 41.1654379], [-8.6037347, 41.1654783], [-8.6023722, 41.1657367], [-8.6016533, 41.1665525], [-8.6025975, 41.1673198], [-8.6034772, 41.1682566], [-8.603488, 41.1694681], [-8.6030374, 41.1699365], [-8.6011276, 41.1698315], [-8.5993681, 41.1697427], [-8.5972438, 41.1696458], [-8.5976086, 41.1709864], [-8.5983274, 41.1723432], [-8.5991643, 41.1737323], [-8.5999153, 41.1750728], [-8.6000869, 41.1763407], [-8.5995398, 41.1773662], [-8.5988639, 41.1785937], [-8.5983167, 41.1798292], [-8.5977159, 41.1810485], [-8.5970721, 41.1823405], [-8.5988639, 41.1828007], [-8.6012993, 41.1834063], [-8.6034772, 41.1839069], [-8.6016212, 41.1833256], [-8.5993574, 41.18272]]"
"bus-204-hsj-f","[[-8.5993574, 41.18272], [-8.5972053, 41.182163], [-8.5979349, 41.1806934], [-8.5987288, 41.1789492], [-8.59963, 41.1772049], [-8.6001235, 41.1754445], [-8.5993725, 41.1740716], [-8.5986, 41.1727149], [-8.5975486, 41.1708251], [-8.5980207, 41.1696944], [-8.599909, 41.1697752], [-8.6019474, 41.1699044], [-8.6035246, 41.1699529], [-8.6034602, 41.1689029], [-8.6034602, 41.1675622], [-8.6032671, 41.1663831], [-8.6031813, 41.1654785], [-8.6053914, 41.1654462], [-8.6064214, 41.1658662], [-8.6074084, 41.1665931], [-8.6089534, 41.1666738], [-8.6100692, 41.1675622], [-8.6114639, 41.1673038], [-8.6118502, 41.1664961], [-8.6136741, 41.1668031], [-8.6150688, 41.1674169], [-8.6166138, 41.1676592], [-8.6186093, 41.1675622], [-8.6202401, 41.1675946], [-8.6217636, 41.1675138], [-8.6236733, 41.1674169], [-8.6255187, 41.1669807], [-8.6272353, 41.1664477], [-8.6289948, 41.1658823], [-8.63069, 41.1651231], [-8.6321814, 41.1644558], [-8.633737, 41.16375], [-8.6333507, 41.1629262], [-8.632192, 41.1615853], [-8.6309904, 41.161133], [-8.6297458, 41.1610522], [-8.6284433, 41.1604786], [-8.6288875, 41.1589036], [-8.6301321, 41.1584028], [-8.6299513, 41.1571765], [-8.6297673, 41.1559956], [-8.6283082, 41.1553171], [-8.6271066, 41.1554302], [-8.6266345, 41.15417], [-8.6261839, 41.1526997], [-8.6284233, 41.1524949], [-8.6306685, 41.1526351], [-8.633144, 41.1526766], [-8.6348957, 41.1524574], [-8.6370225, 41.1527453], [-8.6395091, 41.1533298], [-8.6416119, 41.1538469], [-8.6436138, 41.1544283], [-8.6457533, 41.1543477], [-8.6480707, 41.1542508], [-8.650227, 41.1540802], [-8.6510475, 41.1529611], [-8.6524651, 41.1521583], [-8.6543388, 41.1522202], [-8.6563748, 41.1516334], [-8.6579476, 41.1509061], [-8.6598612, 41.1506021], [-8.662077, 41.1504611], [-8.6643356, 41.150664], [-8.666653, 41.151181], [-8.6687179, 41.1520846], [-8.6705369, 41.1531844], [-8.6719097, 41.1543344], [-8.6721192, 41.155296], [-8.6731118, 41.1554948], [-8.6734922, 41.1547383], [-8.6745091, 41.154157], [-8.6756661, 41.1534434], [-8.6765405, 41.1531688], [-8.6772634, 41.1539022], [-8.677575, 41.1532652], [-8.6772809, 41.1527561]]"
